ADDRESSES,SEQUENCE
1 east wacker suite 3600,[['DIGIT', 'ADR_HEAD'], ['DIR'], ['ALPHA'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 east washington street suite 500,[['DIGIT', 'ADR_HEAD'], ['DIR'], ['ALPHA', 'COMMONST'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 embarcadero center suite 500,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 executive dr ste 215,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT', 'ADR_HEAD']]
1 federal st fl 30,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY', 'PRE'], ['APT'], ['DIGIT', 'ADR_HEAD']]
1 financial ctr fl 16,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY', 'APT_NUM'], ['APT'], ['DIGIT', 'ADR_HEAD']]
1 first avenue,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['WORDWAY']]
1 gateway center suite 2500,[['DIGIT', 'ADR_HEAD'], ['WORDWAY'], ['WORDWAY', 'COMMONST'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 great valley pkwy suite 004,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'GFEATURE'], ['WAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 hampshire street 7th floor,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['WORDWAY'], ['COMMONST', 'NTH'], ['APT']]
1 harbor dr,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'GFEATURE'], ['WAY']]
1 harbor loop,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'GFEATURE'], ['WORDWAY', 'APT']]
1 harry s truman dr,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY']]
1 high ridge park 2nd floor,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA', 'COMMONST', 'GFEATURE'], ['WORDWAY', 'COMMONST', 'GFEATURE'], ['COMMONST', 'NTH'], ['APT']]
1 hillcrest center drive 210,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST'], ['WORDWAY'], ['DIGIT', 'ADR_HEAD']]
1 hillcrest center drive st 225,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST'], ['WORDWAY'], ['WAY', 'PRE'], ['DIGIT', 'ADR_HEAD']]
1 huntington quad suite 1s03a,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA'], ['APT', 'APT_NUM'], ['ALNUM']]
1 indiana square suite 2650,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 la avanzada st,[['DIGIT', 'ADR_HEAD'], ['SP_ARTI'], ['ALPHA'], ['WAY', 'PRE']]
1 lakeshore center,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST']]
1 landmark square 15th floor,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['NTH'], ['APT']]
1 mall drive,[['DIGIT', 'ADR_HEAD'], ['WORDWAY'], ['WORDWAY']]
1 mauchly,[['DIGIT', 'ADR_HEAD'], ['ALPHA']]
1 medical park blvd suite 250w,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST', 'GFEATURE'], ['WAY'], ['APT', 'APT_NUM'], ['ADR_HEAD', 'NUMS_1AL']]
1 medical village drive,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['WORDWAY']]
1 monticello village dr,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['WAY']]
1 n dearborn st suite 800,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY', 'PRE'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 n franklin st fl 10,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY', 'PRE'], ['APT'], ['DIGIT', 'ADR_HEAD']]
1 n lexington ave ste 700,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT', 'ADR_HEAD']]
1 n monroe suite 200,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 new york plaza suite 4300,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['ALPHA', 'COMMONST'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 north franklin suite 2360,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['ALPHA'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 north lasalle street suite 1620,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['ALPHA'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 north pennsylvania st suite 302,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['ALPHA', 'COMMONST'], ['WAY', 'PRE'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 north systems drive,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['ALPHA'], ['WORDWAY']]
1 office park circle suite 300,[['DIGIT', 'ADR_HEAD'], ['OFFICE', 'APT'], ['WORDWAY', 'COMMONST', 'GFEATURE'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 overlook point suite 280,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'GFEATURE'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 park place suite 540,[['DIGIT', 'ADR_HEAD'], ['WORDWAY', 'COMMONST', 'GFEATURE'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 pennydog ct,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY', 'APT']]
1 pier ste 2,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'GFEATURE', 'STRUCTURE'], ['APT'], ['DIGIT', 'ADR_HEAD']]
1 point place suite 200,[['DIGIT', 'ADR_HEAD'], ['WORDWAY', 'GFEATURE'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 post rd 3rd floor,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'POST'], ['WAY'], ['COMMONST', 'NTH'], ['APT']]
1 preimeter park s suite 330n,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST', 'GFEATURE'], ['LETTER', 'DIR'], ['APT', 'APT_NUM'], ['ADR_HEAD', 'NUMS_1AL']]
1 ralph engelstad arena dr,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['WAY']]
1 river court,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST', 'GFEATURE'], ['WORDWAY']]
1 s washington st suite 120,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA', 'COMMONST'], ['WAY', 'PRE'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 saint vincents dr,[['DIGIT', 'ADR_HEAD'], ['PRE'], ['ALPHA'], ['WAY']]
1 south 2nd street,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['COMMONST', 'NTH'], ['WORDWAY']]
1 south broad street 14th floor,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['ALPHA'], ['WORDWAY'], ['NTH'], ['APT']]
1 south main street,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['ALPHA', 'COMMONST'], ['WORDWAY']]
1 south street,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['WORDWAY']]
1 spring point drive,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'GFEATURE'], ['WORDWAY']]
1 state street 13th floor,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'WAYCOKY'], ['WORDWAY'], ['COMMONST', 'NTH'], ['APT']]
1 state street plaza fl29,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'WAYCOKY'], ['WORDWAY'], ['WORDWAY'], ['ALNUM', 'APT_NUM']]
1 stonebridge church dr,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA', 'COMMONST', 'STRUCTURE'], ['WAY']]
1 sugar creek center blvd suite 475,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'GFEATURE'], ['WORDWAY', 'COMMONST'], ['WAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 university pl,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'STRUCTURE'], ['WAY']]
1 village drive suite 354,[['DIGIT', 'ADR_HEAD'], ['WORDWAY'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 virginia ave suite 201,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['WAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 walnut grove 3rd floor,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['ALPHA', 'GFEATURE'], ['COMMONST', 'NTH'], ['APT']]
1 wyoming st,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['WAY', 'PRE']]
10 1st ave rm 26,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'NTH'], ['WAY'], ['WAY', 'APT'], ['DIGIT', 'ADR_HEAD']]
10 belmont park ln,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST', 'GFEATURE'], ['WAY']]
10 boston post rd,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA', 'POST'], ['WAY']]
10 burton hills blvd,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA', 'GFEATURE'], ['WAY']]
10 colonel glenn ct,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA'], ['WAY', 'APT']]
10 colonial road suite 1a,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['APT', 'APT_NUM'], ['NUMS_1AL']]
10 county line drive,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'WAYCOKY'], ['ALPHA'], ['WORDWAY']]
10 davol square 300,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['DIGIT', 'ADR_HEAD']]
10 drs james parker blvd suite 110,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 e 40th st,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['NTH'], ['WAY', 'PRE']]
10 e college avenue suite 300,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA', 'STRUCTURE'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 east 40th st suite 2705,[['DIGIT', 'ADR_HEAD'], ['DIR'], ['NTH'], ['WAY', 'PRE'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 east 40th street,[['DIGIT', 'ADR_HEAD'], ['DIR'], ['NTH'], ['WORDWAY']]
10 east 53rd street 21st fl,[['DIGIT', 'ADR_HEAD'], ['DIR'], ['NTH'], ['WORDWAY'], ['NTH'], ['APT']]
10 east moreland ave suite 100,[['DIGIT', 'ADR_HEAD'], ['DIR'], ['ALPHA'], ['WAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 executive woods drive,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA', 'GFEATURE'], ['WORDWAY']]
10 finderne avenue building 10,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['ALPHA', 'STRUCTURE'], ['DIGIT', 'ADR_HEAD']]
10 g street ne suite 800,[['DIGIT', 'ADR_HEAD'], ['LETTER'], ['WORDWAY'], ['DIR'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 heartland drive suite a,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['APT', 'APT_NUM'], ['LETTER', 'COMMONST']]
10 industrial way east,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['DIR']]
10 inverness center parkway suite 610,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 maguire rd bldg 1 suite 125,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 maple street suite 204,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST', 'GFEATURE'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 memorial blvd # 903,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT', 'ADR_HEAD']]
10 middle st 15th floor,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY', 'PRE'], ['NTH'], ['APT']]
10 n dearborn ste 600,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA'], ['APT'], ['DIGIT', 'ADR_HEAD']]
10 n post street suite 400,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA', 'POST'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 ne cascade,[['DIGIT', 'ADR_HEAD'], ['DIR'], ['ALPHA']]
10 new king street,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['ALPHA'], ['WORDWAY']]
10 new king street suite 210,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['ALPHA'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 north main st,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['ALPHA', 'COMMONST'], ['WAY', 'PRE']]
10 north main street suite b,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['ALPHA', 'COMMONST'], ['WORDWAY'], ['APT', 'APT_NUM'], ['LETTER']]
10 oak park drive,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['WORDWAY', 'COMMONST', 'GFEATURE'], ['WORDWAY']]
10 old jackson avenue unit 30,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA', 'COMMONST'], ['WORDWAY'], ['APT'], ['DIGIT', 'ADR_HEAD']]
10 park place,[['DIGIT', 'ADR_HEAD'], ['WORDWAY', 'COMMONST', 'GFEATURE'], ['WORDWAY']]
10 pixley industrial park,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA'], ['WORDWAY', 'COMMONST', 'GFEATURE']]
10 post office square,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'POST'], ['OFFICE', 'APT'], ['WORDWAY']]
10 post office square suite 1205,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'POST'], ['OFFICE', 'APT'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 river park road suite 800,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST', 'GFEATURE'], ['WORDWAY', 'COMMONST', 'GFEATURE'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 s broadway suite 1500,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA', 'COMMONST'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 second street ne suite 214,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['WORDWAY'], ['DIR'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 south 55th st,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['NTH'], ['WAY', 'PRE']]
10 south broadway suite 550,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['ALPHA', 'COMMONST'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 south waverly,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['ALPHA']]
10 tower hill road,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'STRUCTURE'], ['WAY', 'WORDWAY', 'COMMONST', 'GFEATURE'], ['WORDWAY']]
10 w locust street,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA'], ['WORDWAY']]
10 washington ave unit b,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['WAY'], ['APT'], ['LETTER']]
10 west 33rd st rm 216,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['NTH'], ['WAY', 'PRE'], ['WAY', 'APT'], ['DIGIT', 'ADR_HEAD']]
10 west second street suite 300,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'DIR'], ['ALPHA', 'COMMONST'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 woodbridge center dr suite 650,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST'], ['WAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
10 woodland center dr,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST'], ['WAY']]
100 16th street,[['DIGIT', 'ADR_HEAD'], ['NTH'], ['WORDWAY']]
100 1st ave ne ste 117,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'NTH'], ['WAY'], ['DIR'], ['APT'], ['DIGIT', 'ADR_HEAD']]
100 41st st ne,[['DIGIT', 'ADR_HEAD'], ['NTH'], ['WAY', 'PRE'], ['DIR']]
100 41st street ne,[['DIGIT', 'ADR_HEAD'], ['NTH'], ['WORDWAY'], ['DIR']]
100 6th ave,[['DIGIT', 'ADR_HEAD'], ['COMMONST', 'NTH'], ['WAY']]
100 acorn park drive 5th floor,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST', 'GFEATURE'], ['WORDWAY'], ['COMMONST', 'NTH'], ['APT']]
100 akin cir,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY', 'WORDWAY']]
100 ashford ctr n suite 500,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY', 'APT_NUM'], ['LETTER', 'DIR'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
100 baldwin street suite 305-311,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGDASH', 'ADR_HEAD']]
100 bridge street plaza,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'STRUCTURE'], ['WORDWAY'], ['WORDWAY']]
100 broadway,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST']]
100 broadway 6th floor,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['COMMONST', 'NTH'], ['APT']]
100 california st suite 1100,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['WAY', 'PRE'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
100 cambridge st 13th floor,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY', 'PRE'], ['COMMONST', 'NTH'], ['APT']]
100 canal pointe boulevard suite 210,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
100 capitola drive std 275,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['WAY', 'WORDWAY', 'APT'], ['DIGIT', 'ADR_HEAD']]
100 center street,[['DIGIT', 'ADR_HEAD'], ['WORDWAY', 'COMMONST'], ['WORDWAY']]
100 church street 7th floor,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST', 'STRUCTURE'], ['WORDWAY'], ['COMMONST', 'NTH'], ['APT']]
100 church street sw suite 100,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST', 'STRUCTURE'], ['WORDWAY'], ['DIR'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
100 club oaks court suite a,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA'], ['WORDWAY'], ['APT', 'APT_NUM'], ['LETTER', 'COMMONST']]
100 commercial circle building,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['ALPHA', 'STRUCTURE']]
100 corporate woods suite 300,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA', 'GFEATURE'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
100 cumming center ste 534-g,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST'], ['APT'], ['ADR_HEAD', 'DIGDASHAL']]
100 cummings center suite 265-g,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST'], ['APT', 'APT_NUM'], ['ADR_HEAD', 'DIGDASHAL']]
100 cummings center suite 327j,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST'], ['APT', 'APT_NUM'], ['NUMS_1AL']]
100 cummings ctr ste 441p,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY', 'APT_NUM'], ['APT'], ['NUMS_1AL']]
